Transaction,PurchaseDate,CustomerID,Gender,MaritalStatus,Homeowner,Children,AnnualIncome,City,StateOrProvince,Country,ProductFamily,ProductDepartment,ProductCategory,UnitsSold,Revenue
4107,11/25/2015,9171,F,M,Y,0,$10K - $30K,Seattle,WA,USA,Non-Consumable,Household,Cleaning Supplies,5,19.71
4108,11/25/2015,2150,F,S,Y,4,$30K - $50K,Los Angeles,CA,USA,Food,Deli,Meat,2,8.56
4109,11/25/2015,1285,M,M,Y,5,$70K - $90K,Seattle,WA,USA,Food,Canned Foods,Vegetables,7,15.05
4110,11/25/2015,1647,F,M,Y,1,$110K - $130K,Los Angeles,CA,USA,Food,Baking Goods,Jams and Jellies,4,4.86
4111,11/25/2015,4115,M,S,N,4,$30K - $50K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,3,11.5
4112,11/25/2015,5690,F,M,Y,4,$30K - $50K,Los Angeles,CA,USA,Food,Baking Goods,Baking Goods,4,14.49
4113,11/25/2015,2371,M,S,N,1,$10K - $30K,Spokane,WA,USA,Food,Deli,Meat,5,6.41
4114,11/25/2015,7182,F,S,Y,1,$10K - $30K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,3,18.86
4115,11/25/2015,4507,F,M,Y,4,$50K - $70K,Salem,OR,USA,Non-Consumable,Household,Paper Products,4,11.25
4116,11/25/2015,2065,M,M,N,2,$130K - $150K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,5,9.94
4117,11/25/2015,4892,M,S,N,5,$30K - $50K,Tacoma,WA,USA,Food,Canned Foods,Vegetables,4,7.66
4118,11/25/2015,3508,M,M,Y,1,$10K - $30K,Beverly Hills,CA,USA,Food,Canned Foods,Canned Soup,4,9.18
4119,11/25/2015,8351,M,S,N,4,$70K - $90K,Spokane,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,6,13.16
4120,11/25/2015,7571,F,M,Y,1,$10K - $30K,Beverly Hills,CA,USA,Non-Consumable,Household,Kitchen Products,3,9.46
4121,11/26/2015,5289,F,M,Y,5,$70K - $90K,Los Angeles,CA,USA,Food,Baking Goods,Jams and Jellies,5,12.47
4122,11/26/2015,158,F,M,Y,3,$130K - $150K,Tacoma,WA,USA,Food,Baking Goods,Jams and Jellies,5,4.95
4123,11/26/2015,4451,M,M,Y,4,$90K - $110K,Los Angeles,CA,USA,Food,Produce,Fruit,6,38.64
4124,11/26/2015,8554,F,S,Y,4,$50K - $70K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,4,3.52
4125,11/26/2015,9217,F,S,N,5,$30K - $50K,Beverly Hills,CA,USA,Food,Starchy Foods,Starchy Foods,4,24.56
4126,11/26/2015,6084,F,M,Y,1,$30K - $50K,Portland,OR,USA,Food,Deli,Meat,3,18.51
4127,11/26/2015,6182,F,M,Y,5,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,5,4.75
4128,11/26/2015,8478,M,M,Y,2,$10K - $30K,Los Angeles,CA,USA,Non-Consumable,Household,Electrical,3,5.57
4129,11/26/2015,645,M,S,N,1,$50K - $70K,Portland,OR,USA,Drink,Beverages,Hot Beverages,3,16.12
4130,11/26/2015,7215,F,S,Y,3,$50K - $70K,Portland,OR,USA,Non-Consumable,Household,Plastic Products,4,33.38
4131,11/26/2015,4004,F,M,Y,3,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,5,8.06
4132,11/26/2015,5809,M,M,Y,1,$10K - $30K,Salem,OR,USA,Food,Baking Goods,Jams and Jellies,2,15.5
4133,11/26/2015,9270,M,M,Y,4,$10K - $30K,Portland,OR,USA,Non-Consumable,Household,Cleaning Supplies,3,19.28
4134,11/27/2015,4340,F,S,N,2,$30K - $50K,Tacoma,WA,USA,Food,Produce,Specialty,5,10.1
4135,11/27/2015,7636,F,M,N,1,$50K - $70K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,2,3.8
4136,11/27/2015,9269,F,M,Y,2,$10K - $30K,Los Angeles,CA,USA,Food,Produce,Vegetables,3,6.98
4137,11/27/2015,1187,M,S,N,2,$30K - $50K,Salem,OR,USA,Food,Produce,Packaged Vegetables,5,12.37
4138,11/27/2015,9176,M,S,Y,4,$30K - $50K,Yakima,WA,USA,Food,Canned Foods,Canned Soup,4,15.23
4139,11/27/2015,2756,F,M,N,1,$30K - $50K,Bremerton,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,4,9.41
4140,11/27/2015,3892,F,S,Y,4,$110K - $130K,Portland,OR,USA,Food,Produce,Vegetables,2,8.06
4141,11/27/2015,5631,M,S,Y,5,$110K - $130K,San Diego,CA,USA,Non-Consumable,Household,Kitchen Products,2,5.16
4142,11/27/2015,7014,M,M,N,2,$30K - $50K,San Diego,CA,USA,Food,Canned Foods,Vegetables,5,11.09
4143,11/27/2015,8960,M,M,Y,2,$150K +,Bremerton,WA,USA,Food,Produce,Fruit,3,3.25
4144,11/27/2015,2438,F,M,Y,1,$10K - $30K,Los Angeles,CA,USA,Non-Consumable,Household,Paper Products,5,5.78
4145,11/27/2015,621,M,M,Y,2,$30K - $50K,Portland,OR,USA,Food,Canned Foods,Vegetables,5,11.48
4146,11/27/2015,1533,M,M,Y,3,$30K - $50K,Bremerton,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,5.29
4147,11/27/2015,7664,M,S,Y,1,$10K - $30K,San Diego,CA,USA,Food,Produce,Specialty,4,17.66
4148,11/27/2015,9795,M,S,N,2,$70K - $90K,Portland,OR,USA,Non-Consumable,Health and Hygiene,Hygiene,5,14.06
4149,11/27/2015,7896,F,M,Y,2,$130K - $150K,Yakima,WA,USA,Food,Snack Foods,Snack Foods,2,8.84
4150,11/28/2015,274,M,S,N,4,$30K - $50K,Salem,OR,USA,Food,Canned Foods,Canned Soup,5,11.21
4151,11/28/2015,391,M,S,Y,4,$30K - $50K,Beverly Hills,CA,USA,Food,Frozen Foods,Frozen Desserts,3,10.52
4152,11/28/2015,1070,F,S,N,2,$30K - $50K,Bremerton,WA,USA,Non-Consumable,Household,Plastic Products,4,3.62
4153,11/28/2015,6595,F,M,Y,0,$30K - $50K,Bellingham,WA,USA,Food,Snack Foods,Snack Foods,3,4.47
4154,11/28/2015,3102,M,S,N,1,$10K - $30K,San Diego,CA,USA,Food,Produce,Vegetables,3,7.29
4155,11/28/2015,7842,F,S,Y,2,$110K - $130K,Seattle,WA,USA,Food,Seafood,Seafood,4,33.15
4156,11/28/2015,1410,M,S,N,0,$10K - $30K,San Diego,CA,USA,Food,Produce,Fruit,5,19.48
4157,11/28/2015,7521,M,M,Y,3,$130K - $150K,Salem,OR,USA,Food,Produce,Fruit,4,4.03
4158,11/28/2015,8898,F,M,Y,0,$70K - $90K,Portland,OR,USA,Food,Baked Goods,Bread,3,11.63
4159,11/28/2015,2893,F,M,N,1,$70K - $90K,San Diego,CA,USA,Food,Frozen Foods,Frozen Entrees,4,8.5
4160,11/29/2015,133,M,M,Y,1,$30K - $50K,Beverly Hills,CA,USA,Food,Snacks,Candy,3,14.54
4161,11/29/2015,3115,M,M,Y,3,$10K - $30K,Los Angeles,CA,USA,Non-Consumable,Household,Kitchen Products,3,15.48
4162,11/29/2015,1610,F,S,Y,0,$30K - $50K,Bremerton,WA,USA,Non-Consumable,Household,Electrical,5,11.92
4163,11/29/2015,5742,F,S,Y,4,$70K - $90K,Spokane,WA,USA,Food,Frozen Foods,Frozen Entrees,4,24.29
4164,11/29/2015,3875,F,M,Y,1,$10K - $30K,Beverly Hills,CA,USA,Food,Baked Goods,Bread,4,15.71
4165,11/29/2015,6079,F,M,Y,3,$70K - $90K,Salem,OR,USA,Food,Breakfast Foods,Breakfast Foods,4,6.34
4166,11/29/2015,6355,M,M,N,4,$50K - $70K,Los Angeles,CA,USA,Drink,Dairy,Dairy,4,5.81
4167,11/29/2015,1055,M,M,Y,0,$150K +,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,4,22.97
4168,11/29/2015,4122,F,S,Y,3,$130K - $150K,Seattle,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,6,8.8
4169,11/29/2015,7502,M,S,N,1,$10K - $30K,Spokane,WA,USA,Non-Consumable,Health and Hygiene,Bathroom Products,6,16.92
4170,11/29/2015,5295,M,S,Y,3,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,11.59
4171,11/29/2015,4065,F,S,N,1,$130K - $150K,Bremerton,WA,USA,Food,Baking Goods,Baking Goods,4,5.73
4172,11/29/2015,3423,F,M,N,2,$50K - $70K,Salem,OR,USA,Food,Deli,Meat,4,7.8
4173,11/29/2015,268,M,M,Y,0,$30K - $50K,Beverly Hills,CA,USA,Drink,Alcoholic Beverages,Beer and Wine,3,4.51
4174,11/29/2015,745,F,M,Y,5,$30K - $50K,Seattle,WA,USA,Non-Consumable,Periodicals,Magazines,3,9.89
4175,11/30/2015,8003,M,S,Y,1,$10K - $30K,Bremerton,WA,USA,Non-Consumable,Checkout,Hardware,3,3.87
4176,11/30/2015,5590,M,M,N,5,$110K - $130K,Tacoma,WA,USA,Food,Canned Foods,Canned Soup,5,8.42
4177,11/30/2015,7920,M,S,N,3,$10K - $30K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,5,15.6
4178,11/30/2015,3067,F,S,Y,1,$30K - $50K,Seattle,WA,USA,Food,Baking Goods,Jams and Jellies,3,4.97
4179,11/30/2015,158,F,M,Y,3,$130K - $150K,Tacoma,WA,USA,Food,Deli,Side Dishes,5,9.53
4180,11/30/2015,7862,M,M,Y,4,$30K - $50K,Spokane,WA,USA,Non-Consumable,Household,Plastic Products,5,20.48
4181,11/30/2015,6352,M,S,N,3,$30K - $50K,Salem,OR,USA,Food,Canned Foods,Canned Tuna,3,13.2
4182,11/30/2015,8146,F,M,Y,1,$110K - $130K,Portland,OR,USA,Food,Deli,Meat,5,11.02
4183,11/30/2015,4522,M,S,N,1,$30K - $50K,Tacoma,WA,USA,Food,Baked Goods,Bread,5,9.84
4184,11/30/2015,5026,M,S,N,5,$30K - $50K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,5,5.02
4185,11/30/2015,2848,F,S,N,4,$10K - $30K,Beverly Hills,CA,USA,Food,Dairy,Dairy,3,6.86
4186,12/1/2015,1074,M,S,N,0,$30K - $50K,Salem,OR,USA,Food,Dairy,Dairy,5,36.19
4187,12/1/2015,5331,F,M,Y,2,$90K - $110K,San Diego,CA,USA,Food,Produce,Vegetables,4,10.09
4188,12/1/2015,8254,M,M,Y,1,$70K - $90K,Tacoma,WA,USA,Food,Dairy,Dairy,4,7.4
4189,12/1/2015,3198,M,M,Y,4,$70K - $90K,Los Angeles,CA,USA,Drink,Alcoholic Beverages,Beer and Wine,4,16.42
4190,12/1/2015,8511,F,M,Y,1,$70K - $90K,Spokane,WA,USA,Food,Seafood,Seafood,5,10.21
4191,12/1/2015,9504,F,S,Y,2,$30K - $50K,Salem,OR,USA,Food,Deli,Meat,4,3.89
4192,12/1/2015,9386,F,M,Y,3,$50K - $70K,Beverly Hills,CA,USA,Food,Frozen Foods,Pizza,6,40.14
4193,12/1/2015,9065,F,M,Y,4,$50K - $70K,Salem,OR,USA,Food,Frozen Foods,Vegetables,4,6.13
4194,12/1/2015,1004,F,M,Y,3,$30K - $50K,Tacoma,WA,USA,Drink,Alcoholic Beverages,Beer and Wine,5,14.11
4195,12/1/2015,1451,M,M,N,3,$10K - $30K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,20.45
4196,12/1/2015,5026,M,S,N,5,$30K - $50K,Tacoma,WA,USA,Drink,Dairy,Dairy,3,3.92
4197,12/1/2015,7051,F,M,N,4,$30K - $50K,Spokane,WA,USA,Food,Snacks,Candy,5,23.06
4198,12/1/2015,5834,F,S,N,0,$10K - $30K,Portland,OR,USA,Food,Dairy,Dairy,4,6.29
4199,12/1/2015,3652,M,S,N,3,$10K - $30K,Los Angeles,CA,USA,Drink,Alcoholic Beverages,Beer and Wine,3,14.08
4200,12/1/2015,8457,M,M,N,1,$30K - $50K,Los Angeles,CA,USA,Non-Consumable,Household,Cleaning Supplies,5,14.28
4201,12/2/2015,6174,F,S,N,0,$10K - $30K,Los Angeles,CA,USA,Food,Baking Goods,Jams and Jellies,4,11.91
4202,12/2/2015,2493,F,S,Y,1,$110K - $130K,Tacoma,WA,USA,Food,Snack Foods,Snack Foods,3,21.33
4203,12/2/2015,9276,F,S,Y,4,$130K - $150K,Los Angeles,CA,USA,Food,Frozen Foods,Vegetables,4,10.32
4204,12/2/2015,5580,M,M,Y,3,$70K - $90K,Beverly Hills,CA,USA,Drink,Beverages,Hot Beverages,4,9.47
4205,12/2/2015,1110,M,M,Y,2,$10K - $30K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,5,16.12
4206,12/2/2015,5022,M,S,Y,2,$10K - $30K,Seattle,WA,USA,Food,Frozen Foods,Vegetables,2,7.63
4207,12/2/2015,4609,M,S,N,2,$50K - $70K,Yakima,WA,USA,Food,Produce,Vegetables,4,5.26
4208,12/2/2015,10173,F,M,N,0,$30K - $50K,Spokane,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,4,4.48
4209,12/2/2015,2224,F,M,N,3,$90K - $110K,Spokane,WA,USA,Food,Produce,Vegetables,6,9.05
4210,12/2/2015,9619,M,M,Y,3,$30K - $50K,Portland,OR,USA,Non-Consumable,Health and Hygiene,Bathroom Products,3,9.63
4211,12/2/2015,2293,F,S,Y,3,$30K - $50K,Los Angeles,CA,USA,Food,Frozen Foods,Meat,4,18.79
4212,12/2/2015,5553,F,S,Y,3,$30K - $50K,Los Angeles,CA,USA,Food,Produce,Vegetables,5,9.72
4213,12/2/2015,4436,F,M,Y,1,$30K - $50K,Bremerton,WA,USA,Food,Frozen Foods,Frozen Entrees,4,8.78
4214,12/2/2015,4490,F,S,N,4,$10K - $30K,Salem,OR,USA,Food,Snack Foods,Snack Foods,4,22.7
4215,12/2/2015,4004,F,M,Y,3,$10K - $30K,Salem,OR,USA,Food,Baking Goods,Jams and Jellies,5,19.44
4216,12/2/2015,2747,M,S,Y,4,$70K - $90K,San Diego,CA,USA,Food,Dairy,Dairy,6,18
4217,12/2/2015,9668,F,M,Y,1,$70K - $90K,Salem,OR,USA,Food,Starchy Foods,Starchy Foods,5,6.97
4218,12/2/2015,3157,M,S,N,2,$50K - $70K,Beverly Hills,CA,USA,Food,Starchy Foods,Starchy Foods,3,5.76
4219,12/3/2015,614,M,M,Y,2,$70K - $90K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,3,15.26
4220,12/3/2015,4819,F,S,Y,1,$10K - $30K,Los Angeles,CA,USA,Food,Frozen Foods,Frozen Desserts,5,6.26
4221,12/3/2015,4691,F,S,N,2,$90K - $110K,Tacoma,WA,USA,Food,Produce,Vegetables,5,18.74
4222,12/3/2015,355,F,S,N,1,$10K - $30K,Bremerton,WA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,5,17.31
4223,12/3/2015,8374,F,M,N,2,$50K - $70K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,2,4.16
4224,12/3/2015,3681,F,M,N,2,$10K - $30K,Salem,OR,USA,Food,Frozen Foods,Pizza,6,26.3
4225,12/3/2015,7862,M,M,Y,4,$30K - $50K,Spokane,WA,USA,Food,Canned Foods,Canned Clams,5,31.19
4226,12/3/2015,8404,M,M,Y,3,$50K - $70K,Bremerton,WA,USA,Food,Frozen Foods,Frozen Entrees,3,14.12
4227,12/3/2015,9111,F,S,Y,2,$30K - $50K,Tacoma,WA,USA,Drink,Dairy,Dairy,5,11.04
4228,12/3/2015,5707,F,M,N,5,$50K - $70K,Yakima,WA,USA,Non-Consumable,Household,Electrical,4,10.31
4229,12/3/2015,2547,F,M,Y,3,$70K - $90K,Yakima,WA,USA,Non-Consumable,Household,Kitchen Products,4,15.25
4230,12/3/2015,7051,F,M,N,4,$30K - $50K,Spokane,WA,USA,Food,Snack Foods,Snack Foods,4,3.08
4231,12/3/2015,5256,M,M,Y,3,$10K - $30K,Tacoma,WA,USA,Food,Starchy Foods,Starchy Foods,5,8.45
4232,12/3/2015,2224,F,M,N,3,$90K - $110K,Spokane,WA,USA,Food,Produce,Vegetables,4,11.2
4233,12/3/2015,2857,M,M,Y,1,$30K - $50K,Los Angeles,CA,USA,Food,Baking Goods,Jams and Jellies,3,5.76
4234,12/3/2015,729,F,S,N,3,$70K - $90K,San Diego,CA,USA,Non-Consumable,Household,Electrical,3,3.19
4235,12/3/2015,3854,M,S,Y,1,$90K - $110K,Salem,OR,USA,Food,Dairy,Dairy,5,10.83
4236,12/3/2015,5760,F,M,N,5,$30K - $50K,Salem,OR,USA,Food,Produce,Specialty,5,14.24
4237,12/3/2015,1178,M,S,Y,4,$90K - $110K,Portland,OR,USA,Food,Frozen Foods,Breakfast Foods,6,11.31
4238,12/3/2015,5982,M,S,Y,2,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Cleaning Supplies,4,3.98
4239,12/3/2015,4445,F,S,Y,2,$50K - $70K,Tacoma,WA,USA,Food,Canned Foods,Canned Clams,2,11.39
4240,12/4/2015,7281,F,M,Y,2,$70K - $90K,Tacoma,WA,USA,Food,Produce,Fruit,4,26.15
4241,12/4/2015,2368,F,S,N,1,$10K - $30K,Bremerton,WA,USA,Food,Canned Foods,Canned Soup,6,6.76
4242,12/4/2015,981,M,S,Y,0,$50K - $70K,San Diego,CA,USA,Drink,Dairy,Dairy,5,29.64
4243,12/4/2015,4791,M,M,N,2,$70K - $90K,San Diego,CA,USA,Food,Snack Foods,Snack Foods,5,26.38
4244,12/4/2015,5471,M,S,Y,4,$10K - $30K,Beverly Hills,CA,USA,Food,Starchy Foods,Starchy Foods,4,1.82
4245,12/4/2015,7481,M,S,N,3,$130K - $150K,Los Angeles,CA,USA,Food,Frozen Foods,Vegetables,3,23.58
4246,12/4/2015,8570,M,S,Y,2,$90K - $110K,Portland,OR,USA,Food,Frozen Foods,Frozen Entrees,4,30.5
4247,12/4/2015,3921,F,S,N,1,$30K - $50K,Yakima,WA,USA,Food,Produce,Vegetables,3,23.94
4248,12/4/2015,7641,F,M,N,2,$50K - $70K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,4,17.78
4249,12/4/2015,4417,M,M,Y,2,$70K - $90K,Bremerton,WA,USA,Food,Produce,Fruit,5,15.31
4250,12/4/2015,7181,F,M,Y,1,$50K - $70K,Los Angeles,CA,USA,Food,Deli,Meat,3,10.31
4251,12/4/2015,7859,F,S,Y,4,$30K - $50K,Los Angeles,CA,USA,Food,Produce,Vegetables,4,17
4252,12/4/2015,3113,M,M,N,3,$10K - $30K,Salem,OR,USA,Non-Consumable,Household,Electrical,5,18.59
4253,12/4/2015,5158,M,S,Y,3,$30K - $50K,Bremerton,WA,USA,Food,Starchy Foods,Starchy Foods,5,16.57
4254,12/4/2015,4556,M,S,N,2,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Electrical,4,16.24
4255,12/4/2015,6916,M,S,Y,4,$110K - $130K,Beverly Hills,CA,USA,Non-Consumable,Household,Paper Products,4,10.68
4256,12/4/2015,10214,F,M,Y,3,$150K +,Beverly Hills,CA,USA,Food,Baked Goods,Bread,6,15.44
4257,12/4/2015,8189,M,S,N,2,$70K - $90K,Tacoma,WA,USA,Non-Consumable,Health and Hygiene,Pain Relievers,6,12.99
4258,12/5/2015,2554,F,S,N,0,$50K - $70K,Seattle,WA,USA,Food,Produce,Vegetables,3,3.74
4259,12/5/2015,7569,F,M,Y,0,$30K - $50K,Salem,OR,USA,Food,Frozen Foods,Breakfast Foods,4,7.85
4260,12/5/2015,2759,M,M,N,4,$30K - $50K,Bellingham,WA,USA,Non-Consumable,Periodicals,Magazines,3,21.66
4261,12/5/2015,1389,M,M,Y,1,$30K - $50K,Los Angeles,CA,USA,Food,Eggs,Eggs,3,28.05
4262,12/5/2015,36,M,S,N,1,$10K - $30K,Portland,OR,USA,Food,Dairy,Dairy,3,9.83
4263,12/5/2015,8473,F,S,Y,4,$30K - $50K,Salem,OR,USA,Food,Produce,Vegetables,5,10.38
4264,12/5/2015,5766,M,M,Y,5,$70K - $90K,Spokane,WA,USA,Food,Produce,Vegetables,3,3.35
4265,12/5/2015,6113,F,S,N,0,$130K - $150K,Spokane,WA,USA,Food,Frozen Foods,Pizza,5,9.2
4266,12/5/2015,10174,M,S,Y,5,$30K - $50K,Los Angeles,CA,USA,Food,Deli,Meat,5,11.09
4267,12/5/2015,2872,F,M,Y,4,$30K - $50K,Bellingham,WA,USA,Food,Produce,Vegetables,3,6.53
4268,12/5/2015,3131,F,S,Y,2,$10K - $30K,Seattle,WA,USA,Food,Baked Goods,Bread,6,18.05
4269,12/5/2015,7609,F,S,Y,1,$10K - $30K,Portland,OR,USA,Food,Breakfast Foods,Breakfast Foods,3,3.34
4270,12/5/2015,3231,M,S,N,3,$10K - $30K,Tacoma,WA,USA,Food,Baking Goods,Jams and Jellies,4,14.9
4271,12/5/2015,8731,F,M,N,1,$50K - $70K,Bremerton,WA,USA,Food,Frozen Foods,Vegetables,3,12.01
4272,12/6/2015,1676,M,M,N,3,$30K - $50K,Bremerton,WA,USA,Food,Canned Foods,Canned Soup,4,11.79
4273,12/6/2015,6788,F,M,Y,0,$30K - $50K,Los Angeles,CA,USA,Food,Frozen Foods,Vegetables,4,13.17
4274,12/6/2015,4958,M,S,N,1,$90K - $110K,Yakima,WA,USA,Drink,Beverages,Hot Beverages,6,3.07
4275,12/6/2015,10273,F,S,N,3,$70K - $90K,Tacoma,WA,USA,Non-Consumable,Household,Candles,4,10.86
4276,12/6/2015,533,M,M,Y,1,$50K - $70K,Seattle,WA,USA,Non-Consumable,Health and Hygiene,Hygiene,5,22.34
4277,12/6/2015,7584,F,M,Y,2,$10K - $30K,Beverly Hills,CA,USA,Food,Starchy Foods,Starchy Foods,4,25.84
4278,12/6/2015,2547,F,M,Y,3,$70K - $90K,Yakima,WA,USA,Food,Produce,Fruit,6,20.24
4279,12/6/2015,1850,M,S,Y,1,$130K - $150K,Spokane,WA,USA,Food,Dairy,Dairy,4,6.48
4280,12/6/2015,7072,F,S,Y,2,$90K - $110K,Spokane,WA,USA,Food,Produce,Fruit,5,25.38
4281,12/6/2015,7274,F,S,N,4,$50K - $70K,Salem,OR,USA,Food,Produce,Specialty,5,8.5
4282,12/6/2015,8753,M,S,N,1,$30K - $50K,Beverly Hills,CA,USA,Food,Snack Foods,Snack Foods,4,8.57
4283,12/6/2015,603,M,M,Y,1,$30K - $50K,San Diego,CA,USA,Food,Frozen Foods,Meat,4,5.02
4284,12/6/2015,3187,F,S,N,3,$50K - $70K,San Diego,CA,USA,Food,Frozen Foods,Meat,2,8.93
4285,12/7/2015,3065,M,S,N,3,$50K - $70K,Bremerton,WA,USA,Food,Produce,Fruit,6,14.21
4286,12/7/2015,1656,F,S,Y,4,$10K - $30K,Los Angeles,CA,USA,Food,Produce,Specialty,4,13.32
4287,12/7/2015,3316,M,M,Y,0,$130K - $150K,Los Angeles,CA,USA,Food,Frozen Foods,Frozen Desserts,2,5.85
4288,12/7/2015,4133,F,S,Y,1,$10K - $30K,San Diego,CA,USA,Food,Produce,Vegetables,2,2.05
4289,12/7/2015,2668,M,M,N,0,$70K - $90K,Los Angeles,CA,USA,Food,Snack Foods,Snack Foods,4,10.25
4290,12/7/2015,5013,M,M,N,2,$10K - $30K,Beverly Hills,CA,USA,Food,Frozen Foods,Vegetables,6,7.36
4291,12/7/2015,1214,M,M,Y,3,$30K - $50K,Portland,OR,USA,Non-Consumable,Household,Electrical,5,7.85
4292,12/7/2015,8968,M,S,N,3,$10K - $30K,Portland,OR,USA,Food,Starchy Foods,Starchy Foods,5,53.19
4293,12/7/2015,447,M,S,Y,1,$10K - $30K,Beverly Hills,CA,USA,Non-Consumable,Household,Hardware,4,13.76
4294,12/7/2015,1144,M,M,Y,1,$70K - $90K,Beverly Hills,CA,USA,Food,Frozen Foods,Frozen Entrees,6,8.44
4295,12/7/2015,4463,M,S,Y,5,$110K - $130K,San Diego,CA,USA,Non-Consumable,Household,Paper Products,5,4.94
4296,12/7/2015,5782,M,S,Y,5,$50K - $70K,Salem,OR,USA,Non-Consumable,Household,Plastic Products,4,17.89
4297,12/7/2015,4056,M,M,Y,3,$30K - $50K,Portland,OR,USA,Food,Baking Goods,Jams and Jellies,5,8.35
4298,12/7/2015,4287,F,S,N,4,$30K - $50K,Seattle,WA,USA,Drink,Dairy,Dairy,4,11.48
4299,12/7/2015,6640,M,S,N,1,$50K - $70K,Portland,OR,USA,Non-Consumable,Household,Hardware,5,23.71
4300,12/7/2015,9851,M,S,N,0,$10K - $30K,Bremerton,WA,USA,Food,Baking Goods,Jams and Jellies,4,13.02
4301,12/8/2015,4693,M,S,Y,2,$30K - $50K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,4,5.04
4302,12/8/2015,5358,F,M,Y,1,$150K +,Bremerton,WA,USA,Drink,Beverages,Pure Juice Beverages,4,13.32
4303,12/8/2015,3499,F,M,Y,1,$130K - $150K,Salem,OR,USA,Food,Canned Foods,Canned Clams,4,26.57
4304,12/8/2015,5230,M,M,Y,3,$30K - $50K,Salem,OR,USA,Food,Produce,Fruit,4,9.93
4305,12/8/2015,6469,M,S,N,0,$50K - $70K,Beverly Hills,CA,USA,Food,Snacks,Candy,4,11.29
4306,12/8/2015,8224,F,M,N,3,$50K - $70K,Beverly Hills,CA,USA,Food,Frozen Foods,Pizza,3,11.34
4307,12/8/2015,2908,M,M,N,4,$30K - $50K,Portland,OR,USA,Food,Produce,Vegetables,4,31.1
4308,12/8/2015,8682,F,M,N,2,$30K - $50K,Los Angeles,CA,USA,Food,Canned Foods,Canned Clams,5,7.44
4309,12/8/2015,7120,M,S,N,4,$10K - $30K,Seattle,WA,USA,Food,Canned Foods,Vegetables,5,17.94
4310,12/8/2015,1282,F,S,N,3,$30K - $50K,Bremerton,WA,USA,Non-Consumable,Household,Electrical,3,22.43
4311,12/8/2015,1147,F,S,Y,3,$30K - $50K,Salem,OR,USA,Drink,Alcoholic Beverages,Beer and Wine,4,3.56
4312,12/8/2015,1147,F,S,Y,3,$30K - $50K,Salem,OR,USA,Non-Consumable,Household,Kitchen Products,3,1.98
4313,12/8/2015,2311,M,M,Y,5,$30K - $50K,Los Angeles,CA,USA,Non-Consumable,Household,Candles,2,1.34
4314,12/8/2015,1194,F,S,Y,1,$130K - $150K,San Diego,CA,USA,Food,Produce,Vegetables,3,10.22
4315,12/8/2015,10043,F,M,N,2,$30K - $50K,Walla Walla,WA,USA,Food,Produce,Vegetables,3,6.22
4316,12/8/2015,221,F,M,Y,2,$30K - $50K,Seattle,WA,USA,Food,Snacks,Candy,5,16.5
4317,12/9/2015,7924,M,M,Y,0,$50K - $70K,Los Angeles,CA,USA,Food,Frozen Foods,Vegetables,5,26.78
4318,12/9/2015,8159,M,S,Y,4,$90K - $110K,Beverly Hills,CA,USA,Food,Snack Foods,Snack Foods,4,22.56
4319,12/9/2015,4828,M,M,Y,4,$70K - $90K,Los Angeles,CA,USA,Food,Deli,Meat,6,6.86
4320,12/9/2015,9169,F,M,Y,5,$70K - $90K,Yakima,WA,USA,Non-Consumable,Household,Cleaning Supplies,4,5.92
4321,12/9/2015,9928,F,S,Y,5,$10K - $30K,Spokane,WA,USA,Food,Produce,Vegetables,7,23.22
4322,12/9/2015,1676,M,M,N,3,$30K - $50K,Bremerton,WA,USA,Food,Snack Foods,Snack Foods,5,16.92
4323,12/9/2015,9801,F,S,Y,2,$130K - $150K,Portland,OR,USA,Non-Consumable,Household,Electrical,3,15.11
4324,12/9/2015,10273,F,S,N,3,$70K - $90K,Tacoma,WA,USA,Food,Baking Goods,Jams and Jellies,4,33.8
